Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,0.0000236473,0.0000190494,0.0000190469,0.0000216736,-0.0000078824,0.0000170782,-0.0000013133,0.0000210182,0.0000177336,0.0000538587,0.0000249581,0.0000380963,0.0000137936,0.0000065691,,,
0.0078125000,0,0.0002072820,0.0001627639,0.0001620893,0.0002006570,-0.0000697511,0.0001627272,-0.0000114027,0.0002100735,0.0001881225,0.0004800985,0.0002114410,0.0003412735,0.0001118782,0.0000438994,,,
0.0117187500,0,0.0009021803,0.0006942913,0.0006885254,0.0009339079,-0.0003114649,0.0007745891,-0.0000476952,0.0010514523,0.0009803122,0.0021247937,0.0008811633,0.0015312914,0.0004394110,0.0001205849,,,
0.0156250000,1,0.0026589668,0.0020390033,0.0020113816,0.0029788784,-0.0009653814,0.0024933361,-0.0001296528,0.0035614182,0.0033868075,0.0063475491,0.0024684725,0.0046996720,0.0011387546,0.0001281071,,,
0.0195312500,1,0.0061055001,0.0048136107,0.0047098671,0.0074711169,-0.0024035523,0.0061799316,-0.0002636230,0.0092871621,0.0088383879,0.0146588341,0.0053868584,0.0113488673,0.0022624061,-0.0002108080,,,
0.0234375000,1,0.0118847743,0.0100489238,0.0097142352,0.0159395104,-0.0052168865,0.0126824907,-0.0004470589,0.0200608506,0.0188291530,0.0283101892,0.0100995765,0.0234010829,0.0038588102,-0.0011832473,,,
0.0273437500,1,0.0207505299,0.0195753710,0.0186532487,0.0303556978,-0.0103027647,0.0225436065,-0.0007058725,0.0376361126,0.0345909934,0.0480768690,0.0174898817,0.0433635160,0.0062664658,-0.0027148131,,,
0.0312500000,2,0.0337542692,0.0362939989,0.0341572328,0.0531329775,-0.0188423002,0.0357470582,-0.0011370334,0.0633977884,0.0572150892,0.0741835399,0.0293161376,0.0745091150,0.0104475690,-0.0039616282,,,
0.0351562500,2,0.0523631607,0.0640218800,0.0598734131,0.0869512745,-0.0320702695,0.0515830792,-0.0019173887,0.0982337817,0.0882512407,0.1062031845,0.0483913672,0.1208441003,0.0181404056,-0.0030939049,,,
0.0390625000,2,0.0783468822,0.1068014479,0.1000609528,0.1343637478,-0.0508755764,0.0686896749,-0.0032830598,0.1424681066,0.1302999101,0.1428771162,0.0782384807,0.1867149654,0.0317064545,0.0025673011,,,
0.0429687500,2,0.1133598809,0.1678549881,0.1588012695,0.1972661242,-0.0754194295,0.0852806983,-0.0055258687,0.1956569329,0.1869044030,0.1819879062,0.1222624157,0.2760787107,0.0536919839,0.0160428105,,,
0.0468750000,3,0.1583426626,0.2485796597,0.2390466944,0.2763926696,-0.1049660315,0.0994788168,-0.0090254903,0.2562163556,0.2615285812,0.2204444337,0.1827792593,0.3916356389,0.0862585280,0.0399928913,,,
0.0507812500,3,0.2130268691,0.3479573087,0.3418342576,0.3709924341,-0.1379728058,0.1096117803,-0.0142751741,0.3211163375,0.3561572467,0.2545943351,0.2603205077,0.5340957056,0.1306957547,0.0761082880,,,
0.0546875000,3,0.2757296952,0.4624880718,0.4658536531,0.4787553336,-0.1723847635,0.1143955835,-0.0218623898,0.3858439333,0.4700590028,0.2806899357,0.3534054213,0.7017407830,0.1871372702,0.1247653871,,,
0.0585937500,3,0.3434631581,0.5865622933,0.6073958087,0.5959776557,-0.2060513012,0.1130142362,-0.0323884136,0.4447055945,0.5989463277,0.2954251936,0.4587493614,0.8903182894,0.2544895443,0.1849623771,,,
0.0625000000,4,0.4123714951,0.7131803805,0.7607123806,0.7178929312,-0.2370954295,0.1051088887,-0.0462910432,0.4915788657,0.7350190113,0.2963902275,0.5718172256,1.0932792766,0.3305774817,0.2545425974,,,
0.0664062500,4,0.4783947867,0.8348426488,0.9187033853,0.8390281335,-0.2640390922,0.0906933123,-0.0635727637,0.5210380504,0.8682475021,0.2822864030,0.6875238573,1.3022975477,0.4124642323,0.3306256724,,,
0.0703125000,4,0.5378604642,0.9443024274,1.0736266889,0.9534594950,-0.2856530649,0.0700260998,-0.0835458246,0.5293847695,0.9883932453,0.2528989904,0.8007841423,1.5078789040,0.4968032582,0.4100147838,,,
0.0742187500,4,0.5877343118,1.0349531756,1.2175231774,1.0549644027,-0.3006909438,0.0434431262,-0.1047502886,0.5150804346,1.0867795671,0.2089456320,0.9067275621,1.6998642675,0.5800703406,0.4893803754,,,
0.0781250000,5,0.6254826165,1.1008413277,1.3422795191,1.1371662046,-0.3077098814,0.0111532351,-0.1251180709,0.4784579949,1.1571095679,0.1518925413,1.0005982108,1.8677320724,0.6585897844,0.5652022916,,,
0.0820312500,5,0.6486992124,1.1364794095,1.4394986745,1.1937474413,-0.3050768705,-0.0269439028,-0.1423057006,0.4209947678,1.1952473788,0.0837311088,1.0774873508,2.0007194301,0.7283466402,0.6336023736,,,
